category,type,text,difficulty,points,answers (separated by |),correctAnswer
Office,Truth,"ปุ่มลัดบนคีย์บอร์ดสำหรับคำสั่ง ""Paste"" (วาง) คือปุ่มใด?",easy,100,Ctrl+C | Ctrl+V | Ctrl+P | Ctrl+X,Ctrl+V
Office,Truth,นามสกุลไฟล์มาตรฐานของโปรแกรม Microsoft Excel ยุคปัจจุบันคือ?,easy,100,.xls | .xlsx | .doc | .ppt,.xlsx
Office,Truth,"คำว่า ""ASAP"" ที่ชอบใช้ในอีเมล ย่อมาจาก?",easy,100,As Soon As Possible | Always Send A Post | As Simple As Plan | Ask Service And Plan,As Soon As Possible
Office,Truth,"ตำแหน่ง ""HR"" ย่อมาจากอะไร?",easy,100,High Risk | Human Rights | Human Resources | Hotel Reception,Human Resources
Office,Truth,ภาษีมูลค่าเพิ่ม (VAT) ของประเทศไทยปัจจุบันอยู่ที่กี่เปอร์เซ็นต์?,easy,100,5% | 7% | 10% | 12%,7%
Office,Truth,ใครคือผู้ก่อตั้งบริษัท Microsoft?,easy,100,Steve Jobs | Mark Zuckerberg | Bill Gates | Elon Musk,Bill Gates
Office,Truth,วันแรงงานแห่งชาติ ตรงกับวันที่เท่าไหร่?,easy,100,1 มกราคม | 1 เมษายน | 1 พฤษภาคม | 1 มิถุนายน,1 พฤษภาคม
Office,Dare,"ท้าให้ทำ: ทำท่าทาง ""เจ้านายโกรธ"" แบบไม่มีเสียง",easy,100,,
Y2K,Truth,"ดูโอ้เจ้าของเพลง ""เกรงใจ"" (ท่าเต้นโหนรถเมล์) คือวงอะไร?",easy,100,Liftoil | Raptor | Jr.Voy | China Dolls,Raptor
Y2K,Truth,เกมงู (Snake) มากับมือถือยี่ห้อในตำนานยี่ห้อใด?,easy,100,Motorola | Samsung | Nokia | Siemens,Nokia
Y2K,Truth,"เพลง ""ผ้าเช็ดหน้า"" เป็นของศิลปินวงใด?",easy,100,Project H | Triumphs Kingdom | Niece | Mr.Sister,Triumphs Kingdom
Y2K,Truth,ใน Dragon Ball ต้องรวบรวมลูกแก้วกี่ลูกเพื่อเรียกเทพเจ้ามังกร?,easy,100,5 ลูก | 7 ลูก | 9 ลูก | 10 ลูก,7 ลูก
Y2K,Truth,"ขนมที่มีสโลแกน ""อร่อย...จนหยุดไม่ได้"" คือ?",easy,100,เลย์ | ฮานามิ | คาลบี้ | ปาปริก้า,คาลบี้
Y2K,Truth,ทามาก็อตจิ (Tamagotchi) คือของเล่นประเภทใด?,easy,100,สัตว์เลี้ยงดิจิทัล | หุ่นยนต์ต่อสู้ | ตุ๊กตาเปลี่ยนชุด | เกมเต้น,สัตว์เลี้ยงดิจิทัล
Y2K,Truth,"รายการ ""เกมเศรษฐี"" ประโยคติดปากของไตรภพคือ?",easy,100,ถูกต้องนะคร้าบ | เอามั้ยครับ | ฟังธง | ขอล้านนึง,ถูกต้องนะคร้าบ
Y2K,Truth,"เพลง ""หมวยนี่คะ"" เป็นเพลงของใคร?",easy,100,China Dolls | Hwa Hwa | Bell | Jenny,China Dolls
Y2K,Truth,"สัตว์ที่งับนิ้วในเกม ""จระเข้งับนิ้ว"" คือสัตว์อะไร?",easy,100,ฉลาม | จระเข้ | สุนัข | ไดโนเสาร์,จระเข้
Y2K,Dare,"ท้าให้ทำ: ทำท่าแปลงร่าง ""เซเลอร์มูน""",easy,100,,
Y2K,Dare,"ท้าให้ทำ: เล่นเป่ายิงฉุบแบบ ""ราชา-ราชินี"" ให้ชนะ 2 ใน 3",easy,100,,
Viral,Truth,โลโก้นกสีฟ้าของ Twitter เปลี่ยนเป็นตัวอักษรอะไร?,easy,100,A | X | Z | T,X
Viral,Truth,"""งานดีย์"" แปลว่าอะไร?",easy,100,งานหนัก | หน้าตาดี/คุณภาพดี | งานน่าเบื่อ | เงินดี,หน้าตาดี/คุณภาพดี
Viral,Truth,"""หมูเด้ง"" อยู่ที่สวนสัตว์ไหน?",easy,100,เขาดิน | เขาเขียว | เชียงใหม่ | โคราช,เขาเขียว
Viral,Truth,"""น้อน"" ใช้เรียกอะไร?",easy,100,สิ่งที่น่ากลัว | สิ่งที่น่ารัก/น่าเอ็นดู | สิ่งที่เกลียด | เจ้านาย,สิ่งที่น่ารัก/น่าเอ็นดู
Viral,Truth,เจ้าของ Facebook คือใคร?,easy,100,Steve Jobs | Bill Gates | Elon Musk | Mark Zuckerberg,Mark Zuckerberg
Viral,Truth,"วลี ""วาสนาผู้ใดหนอ"" มักใช้ในบริบทไหน?",easy,100,สมน้ำหน้า | อิจฉาแบบน่ารัก | สงสาร | ให้กำลังใจ,อิจฉาแบบน่ารัก
Viral,Dare,"ท้าให้ทำ: พูดลงท้ายด้วย ""ฉ่ำ"" ทุกประโยค 1 นาที",easy,100,,
Viral,Dare,"ท้าให้ทำ: ทำหน้า ""Meme"" ให้เพื่อนทาย",easy,100,,
Food,Truth,ส่วนประกอบหลักส้มตำไทย นอกจากมะละกอคือ?,easy,100,ปลาร้า | กะปิ | กุ้งแห้ง/ถั่วลิสง | ปูเค็ม,กุ้งแห้ง/ถั่วลิสง
Food,Truth,โลโก้ Starbucks คือรูปอะไร?,easy,100,เทพเจ้า | ใบไม้ | เมล็ดกาแฟ | นางเงือกไซเรน,นางเงือกไซเรน
Food,Truth,อาหารประจำชาติของเกาหลีคือ?,easy,100,ซูชิ | ต้มยำกุ้ง | กิมจิ | ติ่มซำ,กิมจิ
Food,Truth,"""Pad Thai"" (ผัดไทย) เส้นที่ใช้คือเส้นอะไร?",easy,100,เส้นใหญ่ | เส้นหมี่ | เส้นเล็ก/เส้นจันท์ | วุ้นเส้น,เส้นเล็ก/เส้นจันท์
Food,Truth,ชาเขียวมัทฉะ (Matcha) มาจากประเทศใด?,easy,100,จีน | ญี่ปุ่น | ไต้หวัน | เกาหลี,ญี่ปุ่น
Food,Truth,"ร้านฟาสต์ฟู้ดที่มี ""ผู้พัน"" เป็นสัญลักษณ์?",easy,100,McDonald's | KFC | Burger King | Taco Bell,KFC
Food,Dare,ท้าให้ทำ: ทำท่าซดราเมงให้อร่อยจนเพื่อนหิว,easy,100,,
Entertainment,Truth,นางเอกบุพเพสันนิวาสชื่ออะไร (ร่างปัจจุบัน)?,easy,100,การะเกด | เกศสุรางค์ | พุดตาน | แย้ม,เกศสุรางค์
Entertainment,Truth,"ฉายา ""ห้างแตก"" คือใคร?",easy,100,ณเดชน์ | เป๊ก ผลิตโชค | ญาญ่า | บร๊ะเจ้าโจ๊ก,เป๊ก ผลิตโชค
Entertainment,Truth,เพลง Let It Go มาจากเรื่อง?,easy,100,Moana | Tangled | Frozen | Mulan,Frozen
Entertainment,Truth,รายการ Running Man มาจากประเทศ?,easy,100,ไทย | จีน | เกาหลีใต้ | ญี่ปุ่น,เกาหลีใต้
Entertainment,Truth,"เพลง ""คุกกี้เสี่ยงทาย"" เป็นเพลงของวง?",easy,100,CGM48 | BNK48 | Pixxie | 4EVE,BNK48
